Name,IFN,IL1b,IL6,IL10,TNF
  STMEM_100 Brain LPS  ,<0.000,3.944,33.820,0.801,2.566
  STMEM_101 Brain LPS  ,<0.000,3.283,45.930,0.266,3.043
  STMEM_102 Brain LPS  ,<0.000,6.076,109.690,1.135,5.485
  SGC_321 Brain LPS  ,<0.000,1.492,23.036,0.588,1.007
  SGC_322 Brain LPS  ,0.005,1.166,15.040,0.572,0.838
  SAS9_246 Brain LPS  ,<0.000,3.948,29.483,0.949,4.035
  SAS9_247 Brain LPS  ,<0.000,2.761,11.669,0.824,1.456
  SAS9_249 Brain LPS  ,<0.000,7.404,36.193,1.142,3.710
  STMEM9_150 Brain LPS  ,<0.000,9.631,53.303,1.104,6.893
  STMEM9_151 Brain LPS  ,<0.000,1.462,16.677,0.988,0.750
  SGC_371 Brain LPS  ,0.021,14.817,228.899,1.441,9.873
  STMEM_85 Plasma CPZ (De-My)  ,0.333,0.769,28.702,17.690,8.305
  STMEM_86 Plasma CPZ (De-My)  ,0.472,1.110,40.157,11.469,27.518
  STMEM_88 Plasma CPZ (De-My)  ,0.529,0.898,19.911,6.816,7.751
  STMEM_87 Plasma CPZ (De-My)  ,0.385,0.457,18.342,11.874,7.231
  SAS9_261 Plasma CPZ (De-My)  ,0.181,4.352,33.399,6.698,5.555
  SAS9_262 Plasma CPZ (De-My)  ,0.320,1.099,30.392,8.137,5.143
  STMEM_127 Plasma CPZ (De-My)  ,0.537,1.087,19.671,8.715,13.484
  STMEM_128 Plasma CPZ (De-My)  ,0.497,0.531,57.181,9.750,8.233
  STMEM_126 Plasma CPZ (De-My)  ,0.400,0.434,9.810,11.996,9.412
  SGC_362 Plasma CPZ (De-My)  ,0.687,0.223,8.979,12.025,10.404
  SGC_365 Plasma CPZ (De-My)  ,0.104,0.594,21.123,16.913,9.652
  SAS9_232 Plasma CPZ (De-My)  ,0.893,2.006,57.302,11.729,14.283
  STMEM_113 Plasma CPZ (De-My)  ,0.522,0.634,33.508,8.350,7.466
  STMEM_114 Plasma CPZ (De-My)  ,0.827,0.300,22.014,12.170,9.834
  STMEM_116 Plasma CPZ (De-My)  ,0.313,0.679,16.573,12.126,9.071
  STMEM_115 Plasma CPZ (De-My)  ,0.290,0.656,26.425,8.883,9.587
  SAS9_244 Plasma CPZ (De-My)  ,0.431,0.514,13.475,8.781,7.073
  STMEM_165 Plasma CPZ (De-My)  ,0.286,0.645,7.959,12.430,6.151
  SAS9_193 Plasma CPZ (De-My)  ,0.238,0.599,11.247,8.722,6.956
  SGC_347 Plasma CPZ (De-My)  ,0.970,1.060,71.042,23.242,16.184
  SGC_340 Plasma CPZ (De-My)  ,0.530,0.405,22.665,13.359,9.657
  SGC_341 Plasma CPZ (De-My)  ,0.413,0.217,5.949,19.049,10.497
  SGC_356 Plasma CPZ (De-My)  ,0.291,0.317,5.778,12.437,6.204
  SGC_355 Plasma CPZ (De-My)  ,0.457,0.954,36.500,13.006,10.253
  SGC_363 Plasma CPZ (De-My)  ,0.952,0.347,3.884,8.620,6.670
  STMEM_143 Plasma CPZ (De-My)  ,0.420,0.915,116.772,11.310,7.498
  STMEM_145 Plasma CPZ (De-My)  ,0.302,<0.000,5.761,12.415,8.984
  STMEM_85 Brain CPZ (De-My)  ,<0.000,0.015,0.583,0.440,0.114
  STMEM_86 Brain CPZ (De-My)  ,<0.000,0.097,0.209,0.777,0.094
  STMEM_88 Brain CPZ (De-My)  ,0.009,0.072,0.831,0.721,0.099
  STMEM_87 Brain CPZ (De-My)  ,0.011,0.370,0.189,0.784,0.114
  SAS9_261 Brain CPZ (De-My)  ,<0.000,<0.000,0.467,0.577,0.081
  SAS9_262 Brain CPZ (De-My)  ,0.006,0.066,0.602,0.745,0.005
  STMEM_127 Brain CPZ (De-My)  ,<0.000,0.164,1.500,0.895,0.128
  STMEM_128 Brain CPZ (De-My)  ,<0.000,0.078,1.149,0.713,0.321
  STMEM_126 Brain CPZ (De-My)  ,<0.000,0.170,0.755,0.513,0.135
  SGC_362 Brain CPZ (De-My)  ,<0.000,0.021,0.148,0.721,0.087
